AREAGEOGRAFICA|CODICEISTITUTORIFERIMENTO|CODICESCUOLA|DENOMINAZIONEISTITUTORIFERIMENTO|DENOMINAZIONESCUOLA|DESCRIZIONECOMUNE|DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA|INDIRIZZOSCUOLA|PROVINCIA|REGIONE|ALUNNI|Tipo
NORD OVEST|CNPM010004|CNPM010004|"CUNEO - ""EDMONDO DE AMICIS"""|"CUNEO - ""EDMONDO DE AMICIS"""|CUNEO|ISTITUTO MAGISTRALE|CORSO CARLO BRUNET 12|CUNEO|PIEMONTE|1042.0|S
NORD OVEST|CNPM010004|CNPM010015|"CUNEO - ""EDMONDO DE AMICIS"""|"LIMONE PIEMONTE ""E.DE AMICIS"""|LIMONE PIEMONTE|ISTITUTO MAGISTRALE|VIA G.BATTISTA MARRO 41|CUNEO|PIEMONTE|59.0|S
NORD OVEST|CNIS021004|CNPM02101G|"SALUZZO -  ""SOLERI-BERTONI"""|"SALUZZO ""GIACOMO SOLERI"""|SALUZZO|ISTITUTO MAGISTRALE|VIA TRAVERSA DEL QUARTIERE, 2|CUNEO|PIEMONTE|573.0|S
NORD OVEST|CNPM04000X|CNPM04000X|"ALBA - ""LEONARDO DA VINCI"""|"ALBA - ""LEONARDO DA VINCI"""|ALBA|ISTITUTO MAGISTRALE|PIAZZA SAN FRANCESCO D'ASSISI, 1|CUNEO|PIEMONTE|871.0|S
NORD OVEST|CNPS010003|CNPS010003|"FOSSANO - ""G.ANCINA"""|"FOSSANO - ""G.ANCINA"""|FOSSANO|LICEO SCIENTIFICO|P.ZA       DON MARIO PICCO 6|CUNEO|PIEMONTE|616.0|S
NORD OVEST|CNIS01100D|CNPS01101X|"CEVA - ""G. BARUFFI"""|"CEVA - ""G.BARUFFI"""|CEVA|LICEO SCIENTIFICO|PIAZZA GALLIANO 3|CUNEO|PIEMONTE|113.0|S
NORD OVEST|CNPS02000N|CNPS02000N|"CUNEO - ""G.PEANO - S.PELLICO"""|"CUNEO - ""G.PEANO - S.PELLICO"""|CUNEO|LICEO SCIENTIFICO|VIA MONTE ZOVETTO N. 8|CUNEO|PIEMONTE|1286.0|S
NORD OVEST|CNIS02200X|CNPS02201A|"ISTRUZIONE SUPERIORE  ""ARIMONDI-EULA"""|"ISTRUZIONE SUPERIORE  ""ARIMONDI-EULA"""|RACCONIGI|LICEO SCIENTIFICO|PIAZZA MUZZONE 6|CUNEO|PIEMONTE|61.0|S
NORD OVEST|CNPS030008|CNPS030008|"ALBA - ""LEONARDO COCITO"""|"ALBA - ""LEONARDO COCITO"""|ALBA|LICEO SCIENTIFICO|CORSO EUROPA, 2|CUNEO|PIEMONTE|733.0|S
NORD OVEST|CNPS05000D|CNPS05000D|"BRA ""G.GIOLITTI-G.B.GANDINO"""|"BRA ""G.GIOLITTI-G.B.GANDINO"""|BRA|LICEO SCIENTIFICO|VIA        FRATELLI CARANDO 43|CUNEO|PIEMONTE|668.0|S
