AREAGEOGRAFICA|CODICEISTITUTORIFERIMENTO|CODICESCUOLA|DENOMINAZIONESCUOLA|DESCRIZIONECOMUNE|DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA|INDIRIZZOSCUOLA|PROVINCIA|REGIONE|CODICEEDIFICIO|SIGLAPROVINCIA|STATOEDIFICIO|VINCOLIIDROGEOLOGICI|VINCOLIPAESAGGIO|EDIFICIOVETUSTO|VINCOLIZONASISMICA|PROGETTAZIONEANTISISMICA|USOSCOLASTICO|ALTRIUSI|ANNOCOSTRUZIONE|FASCIAETACOSTRUZIONE|ANNOADATTAMENTO|FASCIAETAADATTAMENTO|NUMEROPIANI|SPERFICIEAREATOTALE|SPERFICIEAREALIBERA|VOLUME|SPAZIDIDATTICI|AULAMAGNA|MENSA|PALESTRAPISCINA|SPAZIAMMINISTRATIVI|SCUOLABUS|TRASPORTIPUBBLICIURBANI|TRASPORTIPUBBLICIINTERURBANI|TRASPORTIFERROVIARI|MEZZIPRIVATI|TRASPORTODISABILI|Linea_finanziamento|COMUNE|FONTE|Data_aggiornamento_lavori|Data_inizio|Data_fine|ENTE_RICHIEDENTE|TIPOLOGIA_ENTE_RICHIEDENTE|COD_PRINC|OGGETTO_INTERVENTO|INFO_AGGIUNTIVE|LATITUDINE|LONGITUDINE|TIPO_INTERVENTO|STATO LAVORI|CUP|Importo totale opera|Finanziamento/ Provvedimento
NORD OVEST|CNIS00400A|CNRC004019|"ALBA ""P.CILLARIO FERRERO"""|ALBA|IST PROF PER I SERVIZI COMMERCIALI E TURISTICI|VIA        BALBO 8|CUNEO|PIEMONTE|0040030020|CN|Attivo|NO|NO|SI|Non classificato a rischio|NO|SI|NO|-|tra il 1900 e il 1920|-|Informazione assente|2.0|27.400,00|-|10.000,00|Esiste|Esiste|Non Esiste|Non Esiste|Esiste|NO|SI|SI|SI|SI|NO||||||||||||||||||
NORD OVEST|CNIS00400A|CNRC004019|"ALBA ""P.CILLARIO FERRERO"""|ALBA|IST PROF PER I SERVIZI COMMERCIALI E TURISTICI|VIA        BALBO 8|CUNEO|PIEMONTE|0040030022|CN|Attivo|NO|NO|NO|Non classificato a rischio|NO|SI|NO|-|tra il 1961 e il 1975|-|Informazione assente|4.0|-|-|5.900,00|Esiste|Non Esiste|Non Esiste|Non Esiste|Non Esiste|NO|SI|SI|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIS00400A|CNRC00402A|CORTEMILIA|CORTEMILIA|IST PROF PER I SERVIZI COMMERCIALI E TURISTICI|CORSO      EINAUDI 12|CUNEO|PIEMONTE|0040730002|CN|Attivo|NO|NO|SI|Non classificato a rischio|NO|NO|SI|-|prima del 1800|-|tra il 1946 e il 1975|2.0|1.500,00|700,00|4.700,00|Esiste|Non Esiste|Non Esiste|Non Esiste|Non Esiste|NO|NO|SI|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIS00400A|CNRC00451P|ALBA SERALE|ALBA|IST PROF PER I SERVIZI COMMERCIALI E TURISTICI|Non Disponibile|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIS014001|CNRC01401X|"SALUZZO ""S.PELLICO"""|SALUZZO|IST PROF PER I SERVIZI COMMERCIALI E TURISTICI|VIA        DELLA CROCE 54 A|CUNEO|PIEMONTE|0042030015|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|NO|SI|-|dal 1976 in poi|-|Dal 1976 in poi|4.0|3.600,00|1.500,00|25.000,00|Esiste|Esiste|Non Esiste|Non Esiste|Esiste|NO|SI|NO|NO|SI|SI||||||||||||||||||
NORD OVEST|CNIS014001|CNRC01401X|"SALUZZO ""S.PELLICO"""|SALUZZO|IST PROF PER I SERVIZI COMMERCIALI E TURISTICI|VIA        DELLA CROCE 54 A|CUNEO|PIEMONTE|0042030018|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|2004|Informazione assente|-|Informazione assente|1.0|-|-|126.000,00|Esiste|Non Esiste|Non Esiste|Esiste|Non Esiste|NO|SI|NO|NO|SI|SI||||||||||||||||||
NORD OVEST|CNIS014001|CNRC014508|"SALUZZO ""PELLICO""SERALE"|SALUZZO|IST PROF PER I SERVIZI COMMERCIALI E TURISTICI|VIA DELLA CHIESA 17|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIS00200P|CNRI00250P|"SAVIGLIANO""MARCONI""SERALE"|SAVIGLIANO|IST PROF INDUSTRIA E ARTIGIANATO|PIAZZA MISERICORDIA 1|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIS00300E|CNRI003016|IPSIA CUNEO|CUNEO|IST PROF INDUSTRIA E ARTIGIANATO|VIA CACCIATORI DELLE ALPI 2|CUNEO|PIEMONTE|0040780010|CN|Attivo|NO|NO|SI|Rischio bassa sismicità (S=6)|NO|NO|SI|-|prima del 1800|-|Dal 1976 in poi|3.0|4.500,00|800,00|18.500,00|Esiste|Non Esiste|Non Esiste|Non Esiste|Esiste|NO|SI|SI|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIS00300E|CNRI00350E|CUNEO IPSIA - SERALE|CUNEO|IST PROF INDUSTRIA E ARTIGIANATO|VIA CACCIATORI DELLE ALPI N. 2|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
