AREAGEOGRAFICA|CODICEISTITUTORIFERIMENTO|CODICESCUOLA|DENOMINAZIONEISTITUTORIFERIMENTO|DENOMINAZIONESCUOLA|DESCRIZIONECOMUNE|DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA|INDIRIZZOSCUOLA|PROVINCIA|REGIONE|CODICEEDIFICIO|SIGLAPROVINCIA|STATOEDIFICIO|ANNOSCOLASTICO|VINCOLIIDROGEOLOGICI|VINCOLIPAESAGGIO|EDIFICIOVETUSTO|VINCOLIZONASISMICA|PROGETTAZIONEANTISISMICA|USOSCOLASTICO|ALTRIUSI|ANNOCOSTRUZIONE|FASCIAETACOSTRUZIONE|ANNOADATTAMENTO|FASCIAETAADATTAMENTO|NUMEROPIANI|SPERFICIEAREATOTALE|SPERFICIEAREALIBERA|VOLUME
NORD OVEST|CNIC834002|CNAA83401V|REVELLO|ENVIE-CAPOLUOGO|ENVIE|SCUOLA INFANZIA|VIA CIRCONVALLAZIONE, 47|CUNEO|PIEMONTE|0040850003|CN|Attivo|201516.0|NO|NO|NO|Non classificato a rischio|NO|SI|NO|1994|Informazione assente|-|Informazione assente|1.0|5.500,00|5.160,00|1.020,00
NORD OVEST|CNIC834002|CNAA83402X|REVELLO|REVELLO-CAPOLUOGO|REVELLO|SCUOLA INFANZIA|VIALE UMBERTO I, 31/A|CUNEO|PIEMONTE|0041800001|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|SI|SI|NO|1986|Informazione assente|-|Informazione assente|2.0|-|-|5.000,00
NORD OVEST|CNIC83700D|CNEE83703N|NEIVE|"NEIVE-BORGONUOVO ""F.PICCINELLI"""|NEIVE|SCUOLA PRIMARIA|VIA SALVO D'ACQUISTO 7|CUNEO|PIEMONTE|0041480008|CN|Attivo|201516.0|SI|SI|NO|Non classificato a rischio|NO|SI|NO|-|tra il 1961 e il 1975|-|Informazione assente|3.0|2.000,00|-|16.088,00
NORD OVEST|CNIC83700D|CNEE83704P|NEIVE|TREISO|TREISO|SCUOLA PRIMARIA|PIAZZA BARACCO|CUNEO|PIEMONTE|0042300001|CN|Attivo|201516.0|SI|-|SI|Non Comunicato|-|NO|SI|-|tra il 1900 e il 1920|-|tra il 1946 e il 1975|1.0|1.454,00|-|750,00
NORD OVEST|CNIC83700D|CNEE83704P|NEIVE|TREISO|TREISO|SCUOLA PRIMARIA|PIAZZA BARACCO|CUNEO|PIEMONTE|0042300002|CN|Attivo|201516.0|SI|-|SI|Non classificato a rischio|NO|NO|SI|-|tra il 1900 e il 1920|-|tra il 1946 e il 1975|1.0|370,00|-|1.850,00
NORD OVEST|CNIC83700D|CNEE83705Q|NEIVE|MANGO|MANGO|SCUOLA PRIMARIA|VIA CIRCONVALLAZIONE 43|CUNEO|PIEMONTE|0041150002|CN|Attivo|201516.0|NO|NO|NO|Non classificato a rischio|NO|SI|NO|1965|Informazione assente|-|Informazione assente|4.0|7.425,00|6.525,00|11.880,00
NORD OVEST|CNIS00700T|CNIS00700T|"ALBA - ""G. GOVONE"""|"ALBA - ""G. GOVONE"""|ALBA|ISTITUTO SUPERIORE|VIA TEOBALDO CALISSANO 8|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIS01100D|CNIS01100D|"CEVA - ""G. BARUFFI"""|"CEVA - ""G. BARUFFI"""|CEVA|ISTITUTO SUPERIORE|PIAZZA     GALLIANO, 3|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIS012009|CNIS012009|"ALBA - ""UMBERTO I"""|"ALBA - ""UMBERTO I"""|ALBA|ISTITUTO SUPERIORE|CORSO ENOTRIA N? 2|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC83200A|CNEE83202D|"BAGNOLO P.TE ""B. FENOGLIO"""|BAGNOLO P.TE-FRAZ.VILLARETTO|BAGNOLO PIEMONTE|SCUOLA PRIMARIA|VIA VILLARETTO 60|CUNEO|PIEMONTE|0040090002|CN|Attivo|201516.0|-|-|SI|Rischio sismicità medio/alta (S=9)|NO|NO|SI|-|prima del 1800|-|tra il 1946 e il 1975|4.0|544,00|202,00|2.167,00
