ANNOSCOLASTICO, CODICESCUOLA, CODICEEDIFICIO, SCUOLABUS, TRASPORTIPUBBLICIURBANI, TRASPORTIPUBBLICIINTERURBANI, TRASPORTIFERROVIARI, MEZZIPRIVATI, TRASPORTODISABILI, ALTRO
201516,AGEE83601R,0840231139,SI,SI,SI,NO,SI,SI,Non Comunicato
201516,AGEE83602T,0840231138,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGEE83603V,0840231140,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGEE83802D,0840274810,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGEE83803E,0840274822,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGEE83804G,0840274824,SI,SI,SI,NO,SI,SI,Non Comunicato
201516,AGEE84402R,0840413407,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGEE84402R,0840413408,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGEE84501G,0840414358,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGEE84602C,0840031381,SI,NO,NO,NO,SI,SI,Non Comunicato
201516,AGEE84603D,0840031389,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGEE84604E,0840031383,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGEE84704A,0840274818,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGEE84704A,0840274819,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGEE84704A,0840274820,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGEE84704A,0840274821,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGEE84705B,0840274800,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGEE84705B,0840274823,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGEE848013,0840211132,NO,SI,NO,NO,SI,SI,Non Comunicato
201516,AGEE850013,0840274797,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGEE850024,0840274825,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGEE85101V,0840291074,SI,NO,NO,NO,SI,NO,Non Comunicato
201516,AGEE85101V,0840291075,SI,NO,NO,NO,SI,SI,Non Comunicato
201516,AGEE85101V,0840291076,SI,NO,NO,NO,SI,NO,Non Comunicato
201516,AGEE85201P,0840123230,SI,SI,SI,NO,SI,SI,Non Comunicato
201516,AGEE85301E,0840261163,NO,NO,NO,NO,NO,NO,Non Comunicato
201516,AGEE85401A,0840302759,SI,SI,SI,NO,SI,SI,Non Comunicato
201516,AGEE855016,0840014227,NO,NO,NO,NO,SI,NO,Non Comunicato
201516,AGEE855027,0840014214,NO,NO,NO,NO,SI,NO,Non Comunicato
201516,AGEE855027,0840014215,NO,NO,NO,NO,SI,NO,Non Comunicato
201516,AGEE855038,0840014276,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGEE855038,0840014277,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGEE855049,0840014219,NO,NO,NO,NO,SI,NO,Non Comunicato
201516,AGEE85701T,0840330598,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGEE85801N,0840174154,NO,SI,NO,NO,SI,SI,Non Comunicato
201516,AGEE85901D,0840174157,SI,SI,SI,NO,SI,SI,Non Comunicato
201516,AGEE86101D,0840174143,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGIC805003,0840302758,SI,SI,SI,NO,SI,SI,Non Comunicato
201516,AGIC80700P,0840143937,SI,NO,SI,NO,SI,SI,Non Comunicato
201516,AGIC80700P,0840144101,SI,NO,SI,NO,SI,SI,Non Comunicato
201516,AGIC812006,0840023120,SI,NO,NO,NO,SI,NO,Non Comunicato
201516,AGIC81500N,0840111097,SI,SI,SI,NO,SI,SI,Non Comunicato
201516,AGIC817009,0840341119,SI,SI,SI,NO,SI,SI,Non Comunicato
201516,AGIC818005,0840361151,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGIC819001,0840321043,SI,NO,NO,NO,SI,SI,Non Comunicato
201516,AGIC820005,0840014230,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGIC820005,0840014231,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGIC820005,0840014232,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGIC821001,0840014223,SI,SI,NO,NO,SI,NO,Non Comunicato
