ANNOSCOLASTICO, CODICESCUOLA, CODICEEDIFICIO, SPAZIDIDATTICI, AULAMAGNA, MENSA, PALESTRAPISCINA, SPAZIAMMINISTRATIVI
201516,CSAA8AP02D,0781081450,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AQ029,0781080332,Esiste,Non Esiste,Esiste,Esiste,Esiste
201516,CSAA8AQ03A,0781080333,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AQ04B,0781081447,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AQ05C,0781080337,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AR014,0780470185,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AR025,0780470544,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AR036,0780470186,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AR047,0780470187,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AS03B,0780150077,Esiste,Non Esiste,Esiste,Non Esiste,Non Esiste
201516,CSAA8AT015,0781490399,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AT026,0781490400,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AT037,0781490401,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AU011,0781010294,Esiste,Non Esiste,Esiste,Non Esiste,Non Esiste
201516,CSAA8AU022,0781250295,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AU033,0781010296,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AV01R,0781190349,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AV02T,0781190351,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AV03V,0781190355,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AW01L,0781190352,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AW02N,0781190353,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AX01C,0781190347,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
